latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,source,bright_ti4,bright_ti5
-36.389,145.29399999999998,302.8,1.0,1.0,2020-04-23,415,A,50,6.0NRT,287.4,3.7,D,MODIS,,
-36.39,145.283,318.4,1.0,1.0,2020-04-23,415,A,78,6.0NRT,289.4,15.0,D,MODIS,,
-36.224000000000004,146.313,302.0,1.0,1.0,2020-04-23,415,A,50,6.0NRT,281.7,5.8,D,MODIS,,
-37.865,146.225,301.6,2.1,1.4,2020-04-23,1340,T,42,6.0NRT,283.2,18.9,N,MODIS,,
-37.865,146.22,300.6,2.1,1.4,2020-04-23,1340,T,30,6.0NRT,283.5,18.5,N,MODIS,,
-37.861,146.237,301.0,1.0,1.0,2020-04-23,1520,A,30,6.0NRT,283.2,7.0,N,MODIS,,
-37.868,146.22899999999998,300.2,1.0,1.0,2020-04-23,1520,A,17,6.0NRT,285.3,7.5,N,MODIS,,
-36.044000000000004,141.458,308.0,1.0,1.0,2020-04-24,45,T,60,6.0NRT,288.6,7.1,D,MODIS,,
-36.052,141.444,339.4,1.0,1.0,2020-04-24,45,T,91,6.0NRT,292.0,42.2,D,MODIS,,
-36.053000000000004,141.45600000000002,340.0,1.0,1.0,2020-04-24,45,T,87,6.0NRT,292.9,43.8,D,MODIS,,
-37.407,143.908,300.4,1.3,1.1,2020-04-24,45,T,29,6.0NRT,287.6,5.0,D,MODIS,,
-37.409,142.452,301.2,1.1,1.1,2020-04-24,45,T,35,6.0NRT,289.5,5.3,D,MODIS,,
-37.378,142.125,335.4,1.1,1.0,2020-04-24,45,T,84,6.0NRT,287.8,41.7,D,MODIS,,
-37.379,142.137,337.3,1.1,1.0,2020-04-24,45,T,68,6.0NRT,286.8,44.9,D,MODIS,,
-37.815,144.66,307.0,1.4,1.2,2020-04-24,45,T,64,6.0NRT,292.6,9.8,D,MODIS,,
-37.696999999999996,143.33700000000002,305.6,1.2,1.1,2020-04-24,45,T,62,6.0NRT,290.7,7.4,D,MODIS,,
-37.679,141.808,305.6,1.1,1.0,2020-04-24,45,T,57,6.0NRT,287.9,6.1,D,MODIS,,
-37.769,141.871,303.3,1.1,1.0,2020-04-24,45,T,48,6.0NRT,286.7,6.4,D,MODIS,,
-37.771,141.884,309.8,1.1,1.0,2020-04-24,45,T,65,6.0NRT,288.5,11.0,D,MODIS,,
-38.154,142.83100000000002,309.8,1.2,1.1,2020-04-24,45,T,69,6.0NRT,285.3,12.9,D,MODIS,,
-38.156,142.845,304.2,1.2,1.1,2020-04-24,45,T,55,6.0NRT,285.9,8.2,D,MODIS,,
-37.937,141.066,332.6,1.0,1.0,2020-04-24,45,T,88,6.0NRT,289.5,32.3,D,MODIS,,
-37.945,141.05200000000002,369.5,1.0,1.0,2020-04-24,45,T,100,6.0NRT,291.5,118.2,D,MODIS,,
-37.946,141.064,399.5,1.0,1.0,2020-04-24,45,T,100,6.0NRT,294.2,261.5,D,MODIS,,
-36.052,147.983,303.8,3.7,1.8,2020-04-24,320,A,37,6.0NRT,288.3,28.4,D,MODIS,,
-37.92,146.268,304.8,3.2,1.7,2020-04-24,455,A,60,6.0NRT,288.5,39.1,D,MODIS,,
-37.929,146.234,324.7,3.1,1.7,2020-04-24,455,A,83,6.0NRT,290.3,125.3,D,MODIS,,
-37.923,146.263,313.5,3.2,1.7,2020-04-24,455,A,63,6.0NRT,288.9,64.3,D,MODIS,,
-37.931999999999995,146.227,317.9,3.1,1.7,2020-04-24,455,A,78,6.0NRT,289.8,81.7,D,MODIS,,
-37.663000000000004,142.82299999999998,313.8,2.0,1.4,2020-04-24,500,A,74,6.0NRT,294.4,26.1,D,MODIS,,
-37.668,142.80100000000002,313.0,2.0,1.4,2020-04-24,500,A,73,6.0NRT,295.2,24.5,D,MODIS,,
-37.663000000000004,142.81799999999998,317.9,2.0,1.4,2020-04-24,500,A,78,6.0NRT,294.8,33.8,D,MODIS,,
-37.657,142.602,304.5,1.9,1.4,2020-04-24,500,A,59,6.0NRT,292.5,10.1,D,MODIS,,
-37.580999999999996,142.838,310.1,2.0,1.4,2020-04-24,500,A,70,6.0NRT,294.6,18.8,D,MODIS,,
-37.585,142.815,325.4,2.0,1.4,2020-04-24,500,A,84,6.0NRT,295.5,56.9,D,MODIS,,
-37.549,142.724,315.5,2.0,1.4,2020-04-24,500,A,76,6.0NRT,294.1,30.1,D,MODIS,,
-37.429,143.225,307.3,2.1,1.4,2020-04-24,500,A,65,6.0NRT,296.0,15.9,D,MODIS,,
-37.486999999999995,142.89600000000002,312.9,2.0,1.4,2020-04-24,500,A,73,6.0NRT,294.3,26.9,D,MODIS,,
-37.492,142.873,307.5,2.0,1.4,2020-04-24,500,A,65,6.0NRT,293.2,15.5,D,MODIS,,
-37.503,142.756,309.7,2.0,1.4,2020-04-24,500,A,69,6.0NRT,294.6,17.3,D,MODIS,,
-37.491,142.752,309.0,2.0,1.4,2020-04-24,500,A,61,6.0NRT,295.2,15.7,D,MODIS,,
-37.093,143.967,305.3,2.4,1.5,2020-04-24,500,A,55,6.0NRT,294.3,12.0,D,MODIS,,
-37.099000000000004,143.94,307.3,2.4,1.5,2020-04-24,500,A,65,6.0NRT,295.4,16.2,D,MODIS,,
-37.05,143.249,308.8,2.2,1.4,2020-04-24,500,A,68,6.0NRT,292.1,25.2,D,MODIS,,
-37.055,143.222,322.2,2.2,1.4,2020-04-24,500,A,81,6.0NRT,290.7,60.7,D,MODIS,,
-36.722,144.114,305.2,2.5,1.5,2020-04-24,500,A,58,6.0NRT,295.1,14.4,D,MODIS,,
-36.728,144.086,311.1,2.5,1.5,2020-04-24,500,A,70,6.0NRT,296.2,28.5,D,MODIS,,
-36.751999999999995,143.918,307.1,2.5,1.5,2020-04-24,500,A,64,6.0NRT,296.1,17.3,D,MODIS,,
-36.73,144.109,308.2,2.5,1.5,2020-04-24,500,A,47,6.0NRT,294.9,19.1,D,MODIS,,
-37.075,142.004,315.6,1.9,1.3,2020-04-24,500,A,75,6.0NRT,294.3,27.8,D,MODIS,,
-37.084,142.002,313.9,1.9,1.3,2020-04-24,500,A,72,6.0NRT,293.5,24.3,D,MODIS,,
-36.466,144.125,306.4,2.6,1.5,2020-04-24,500,A,59,6.0NRT,296.1,15.1,D,MODIS,,
-36.838,142.366,327.4,2.0,1.4,2020-04-24,500,A,84,6.0NRT,295.5,60.2,D,MODIS,,
-36.842,142.344,345.5,2.0,1.4,2020-04-24,500,A,94,6.0NRT,297.2,134.1,D,MODIS,,
-36.696,142.901,309.2,2.1,1.4,2020-04-24,500,A,48,6.0NRT,297.0,13.6,D,MODIS,,
-36.701,142.878,308.9,2.1,1.4,2020-04-24,500,A,42,6.0NRT,297.2,12.8,D,MODIS,,
